id,pokemon,rarity,grade,shiny,preis
1,Bisasam,Uncommon,Wild,0,0.32
1,Bisasam,Uncommon,Trainiert,0,0.38
1,Bisasam,Uncommon,Kampfbereit,0,0.45
1,Bisasam,Uncommon,Elite,0,0.61
1,Bisasam,Uncommon,Perfekt,0,0.77
1,Bisasam,Uncommon,Wild,1,0.79
1,Bisasam,Uncommon,Trainiert,1,0.96
1,Bisasam,Uncommon,Kampfbereit,1,1.13
1,Bisasam,Uncommon,Elite,1,1.52
1,Bisasam,Uncommon,Perfekt,1,1.91
2,Bisaknosp,Uncommon,Wild,0,0.66
2,Bisaknosp,Uncommon,Trainiert,0,0.81
2,Bisaknosp,Uncommon,Kampfbereit,0,0.95
2,Bisaknosp,Uncommon,Elite,0,1.28
2,Bisaknosp,Uncommon,Perfekt,0,1.62
2,Bisaknosp,Uncommon,Wild,1,1.66
2,Bisaknosp,Uncommon,Trainiert,1,2.02
2,Bisaknosp,Uncommon,Kampfbereit,1,2.38
2,Bisaknosp,Uncommon,Elite,1,3.21
2,Bisaknosp,Uncommon,Perfekt,1,4.04
3,Bisaflor,Rare,Wild,0,4.91
3,Bisaflor,Rare,Trainiert,0,5.97
3,Bisaflor,Rare,Kampfbereit,0,7.02
3,Bisaflor,Rare,Elite,0,9.48
3,Bisaflor,Rare,Perfekt,0,12.00
3,Bisaflor,Rare,Wild,1,12.25
3,Bisaflor,Rare,Trainiert,1,15.00
3,Bisaflor,Rare,Kampfbereit,1,17.50
3,Bisaflor,Rare,Elite,1,23.75
3,Bisaflor,Rare,Perfekt,1,29.75
4,Glumanda,Uncommon,Wild,0,0.35
4,Glumanda,Uncommon,Trainiert,0,0.43
4,Glumanda,Uncommon,Kampfbereit,0,0.50
4,Glumanda,Uncommon,Elite,0,0.68
4,Glumanda,Uncommon,Perfekt,0,0.85
4,Glumanda,Uncommon,Wild,1,0.88
4,Glumanda,Uncommon,Trainiert,1,1.06
4,Glumanda,Uncommon,Kampfbereit,1,1.25
4,Glumanda,Uncommon,Elite,1,1.69
4,Glumanda,Uncommon,Perfekt,1,2.13
5,Glutexo,Uncommon,Wild,0,0.71
5,Glutexo,Uncommon,Trainiert,0,0.86
5,Glutexo,Uncommon,Kampfbereit,0,1.01
5,Glutexo,Uncommon,Elite,0,1.36
5,Glutexo,Uncommon,Perfekt,0,1.72
5,Glutexo,Uncommon,Wild,1,1.77
5,Glutexo,Uncommon,Trainiert,1,2.15
5,Glutexo,Uncommon,Kampfbereit,1,2.53
5,Glutexo,Uncommon,Elite,1,3.41
5,Glutexo,Uncommon,Perfekt,1,4.29
6,Glurak,Epic,Wild,0,11.25
6,Glurak,Epic,Trainiert,0,13.50
6,Glurak,Epic,Kampfbereit,0,16.00
6,Glurak,Epic,Elite,0,21.50
6,Glurak,Epic,Perfekt,0,27.25
6,Glurak,Epic,Wild,1,28.00
6,Glurak,Epic,Trainiert,1,34.00
6,Glurak,Epic,Kampfbereit,1,40.00
6,Glurak,Epic,Elite,1,54.00
6,Glurak,Epic,Perfekt,1,68.00
7,Schiggy,Uncommon,Wild,0,0.36
7,Schiggy,Uncommon,Trainiert,0,0.43
7,Schiggy,Uncommon,Kampfbereit,0,0.51
7,Schiggy,Uncommon,Elite,0,0.69
7,Schiggy,Uncommon,Perfekt,0,0.87
7,Schiggy,Uncommon,Wild,1,0.89
7,Schiggy,Uncommon,Trainiert,1,1.08
7,Schiggy,Uncommon,Kampfbereit,1,1.27
7,Schiggy,Uncommon,Elite,1,1.72
7,Schiggy,Uncommon,Perfekt,1,2.17
8,Schillok,Uncommon,Wild,0,0.71
8,Schillok,Uncommon,Trainiert,0,0.86
8,Schillok,Uncommon,Kampfbereit,0,1.01
8,Schillok,Uncommon,Elite,0,1.36
8,Schillok,Uncommon,Perfekt,0,1.72
8,Schillok,Uncommon,Wild,1,1.77
8,Schillok,Uncommon,Trainiert,1,2.15
8,Schillok,Uncommon,Kampfbereit,1,2.53
8,Schillok,Uncommon,Elite,1,3.41
8,Schillok,Uncommon,Perfekt,1,4.29
9,Turtok,Rare,Wild,0,5.07
9,Turtok,Rare,Trainiert,0,6.15
9,Turtok,Rare,Kampfbereit,0,7.24
9,Turtok,Rare,Elite,0,9.77
9,Turtok,Rare,Perfekt,0,12.25
9,Turtok,Rare,Wild,1,12.75
9,Turtok,Rare,Trainiert,1,15.50
9,Turtok,Rare,Kampfbereit,1,18.00
9,Turtok,Rare,Elite,1,24.50
9,Turtok,Rare,Perfekt,1,30.75
10,Raupy,Common,Wild,0,0.17
10,Raupy,Common,Trainiert,0,0.20
10,Raupy,Common,Kampfbereit,0,0.24
10,Raupy,Common,Elite,0,0.32
10,Raupy,Common,Perfekt,0,0.41
10,Raupy,Common,Wild,1,0.42
10,Raupy,Common,Trainiert,1,0.51
10,Raupy,Common,Kampfbereit,1,0.60
10,Raupy,Common,Elite,1,0.81
10,Raupy,Common,Perfekt,1,1.02
11,Safcon,Common,Wild,0,0.24
11,Safcon,Common,Trainiert,0,0.29
11,Safcon,Common,Kampfbereit,0,0.34
11,Safcon,Common,Elite,0,0.46
11,Safcon,Common,Perfekt,0,0.58
11,Safcon,Common,Wild,1,0.60
11,Safcon,Common,Trainiert,1,0.72
11,Safcon,Common,Kampfbereit,1,0.85
11,Safcon,Common,Elite,1,1.15
11,Safcon,Common,Perfekt,1,1.45
12,Smettbo,Uncommon,Wild,0,0.81
12,Smettbo,Uncommon,Trainiert,0,0.98
12,Smettbo,Uncommon,Kampfbereit,0,1.15
12,Smettbo,Uncommon,Elite,0,1.55
12,Smettbo,Uncommon,Perfekt,0,1.95
12,Smettbo,Uncommon,Wild,1,2.01
12,Smettbo,Uncommon,Trainiert,1,2.44
12,Smettbo,Uncommon,Kampfbereit,1,2.88
12,Smettbo,Uncommon,Elite,1,3.88
12,Smettbo,Uncommon,Perfekt,1,4.89
13,Hornliu,Common,Wild,0,0.03
13,Hornliu,Common,Trainiert,0,0.04
13,Hornliu,Common,Kampfbereit,0,0.05
13,Hornliu,Common,Elite,0,0.07
13,Hornliu,Common,Perfekt,0,0.09
13,Hornliu,Common,Wild,1,0.09
13,Hornliu,Common,Trainiert,1,0.11
13,Hornliu,Common,Kampfbereit,1,0.13
13,Hornliu,Common,Elite,1,0.17
13,Hornliu,Common,Perfekt,1,0.21
14,Kokuna,Common,Wild,0,0.13
14,Kokuna,Common,Trainiert,0,0.15
14,Kokuna,Common,Kampfbereit,0,0.18
14,Kokuna,Common,Elite,0,0.24
14,Kokuna,Common,Perfekt,0,0.31
14,Kokuna,Common,Wild,1,0.32
14,Kokuna,Common,Trainiert,1,0.38
14,Kokuna,Common,Kampfbereit,1,0.45
14,Kokuna,Common,Elite,1,0.61
14,Kokuna,Common,Perfekt,1,0.77
15,Bibor,Uncommon,Wild,0,0.30
15,Bibor,Uncommon,Trainiert,0,0.37
15,Bibor,Uncommon,Kampfbereit,0,0.43
15,Bibor,Uncommon,Elite,0,0.58
15,Bibor,Uncommon,Perfekt,0,0.73
15,Bibor,Uncommon,Wild,1,0.75
15,Bibor,Uncommon,Trainiert,1,0.91
15,Bibor,Uncommon,Kampfbereit,1,1.08
15,Bibor,Uncommon,Elite,1,1.45
15,Bibor,Uncommon,Perfekt,1,1.83
16,Taubsi,Common,Wild,0,0.03
16,Taubsi,Common,Trainiert,0,0.03
16,Taubsi,Common,Kampfbereit,0,0.04
16,Taubsi,Common,Elite,0,0.05
16,Taubsi,Common,Perfekt,0,0.07
16,Taubsi,Common,Wild,1,0.07
16,Taubsi,Common,Trainiert,1,0.09
16,Taubsi,Common,Kampfbereit,1,0.10
16,Taubsi,Common,Elite,1,0.14
16,Taubsi,Common,Perfekt,1,0.17
17,Tauboga,Common,Wild,0,0.13
17,Tauboga,Common,Trainiert,0,0.16
17,Tauboga,Common,Kampfbereit,0,0.19
17,Tauboga,Common,Elite,0,0.26
17,Tauboga,Common,Perfekt,0,0.32
17,Tauboga,Common,Wild,1,0.33
17,Tauboga,Common,Trainiert,1,0.40
17,Tauboga,Common,Kampfbereit,1,0.48
17,Tauboga,Common,Elite,1,0.64
17,Tauboga,Common,Perfekt,1,0.81
18,Tauboss,Uncommon,Wild,0,0.29
18,Tauboss,Uncommon,Trainiert,0,0.36
18,Tauboss,Uncommon,Kampfbereit,0,0.42
18,Tauboss,Uncommon,Elite,0,0.57
18,Tauboss,Uncommon,Perfekt,0,0.71
18,Tauboss,Uncommon,Wild,1,0.74
18,Tauboss,Uncommon,Trainiert,1,0.89
18,Tauboss,Uncommon,Kampfbereit,1,1.05
18,Tauboss,Uncommon,Elite,1,1.42
18,Tauboss,Uncommon,Perfekt,1,1.79
19,Rattfratz,Common,Wild,0,0.03
19,Rattfratz,Common,Trainiert,0,0.04
19,Rattfratz,Common,Kampfbereit,0,0.05
19,Rattfratz,Common,Elite,0,0.07
19,Rattfratz,Common,Perfekt,0,0.09
19,Rattfratz,Common,Wild,1,0.09
19,Rattfratz,Common,Trainiert,1,0.11
19,Rattfratz,Common,Kampfbereit,1,0.13
19,Rattfratz,Common,Elite,1,0.17
19,Rattfratz,Common,Perfekt,1,0.21
20,Rattikarl,Common,Wild,0,0.18
20,Rattikarl,Common,Trainiert,0,0.22
20,Rattikarl,Common,Kampfbereit,0,0.26
20,Rattikarl,Common,Elite,0,0.35
20,Rattikarl,Common,Perfekt,0,0.44
20,Rattikarl,Common,Wild,1,0.45
20,Rattikarl,Common,Trainiert,1,0.55
20,Rattikarl,Common,Kampfbereit,1,0.65
20,Rattikarl,Common,Elite,1,0.88
20,Rattikarl,Common,Perfekt,1,1.11
21,Habitak,Common,Wild,0,0.06
21,Habitak,Common,Trainiert,0,0.07
21,Habitak,Common,Kampfbereit,0,0.08
21,Habitak,Common,Elite,0,0.11
21,Habitak,Common,Perfekt,0,0.14
21,Habitak,Common,Wild,1,0.14
21,Habitak,Common,Trainiert,1,0.17
21,Habitak,Common,Kampfbereit,1,0.20
21,Habitak,Common,Elite,1,0.27
21,Habitak,Common,Perfekt,1,0.34
22,Ibitak,Common,Wild,0,0.18
22,Ibitak,Common,Trainiert,0,0.22
22,Ibitak,Common,Kampfbereit,0,0.26
22,Ibitak,Common,Elite,0,0.35
22,Ibitak,Common,Perfekt,0,0.44
22,Ibitak,Common,Wild,1,0.45
22,Ibitak,Common,Trainiert,1,0.55
22,Ibitak,Common,Kampfbereit,1,0.65
22,Ibitak,Common,Elite,1,0.88
22,Ibitak,Common,Perfekt,1,1.11
23,Rettan,Common,Wild,0,0.16
23,Rettan,Common,Trainiert,0,0.20
23,Rettan,Common,Kampfbereit,0,0.23
23,Rettan,Common,Elite,0,0.31
23,Rettan,Common,Perfekt,0,0.39
23,Rettan,Common,Wild,1,0.40
23,Rettan,Common,Trainiert,1,0.49
23,Rettan,Common,Kampfbereit,1,0.58
23,Rettan,Common,Elite,1,0.78
23,Rettan,Common,Perfekt,1,0.98
24,Arbok,Uncommon,Wild,0,0.35
24,Arbok,Uncommon,Trainiert,0,0.43
24,Arbok,Uncommon,Kampfbereit,0,0.50
24,Arbok,Uncommon,Elite,0,0.68
24,Arbok,Uncommon,Perfekt,0,0.85
24,Arbok,Uncommon,Wild,1,0.88
24,Arbok,Uncommon,Trainiert,1,1.06
24,Arbok,Uncommon,Kampfbereit,1,1.25
24,Arbok,Uncommon,Elite,1,1.69
24,Arbok,Uncommon,Perfekt,1,2.13
25,Pikachu,Rare,Wild,0,4.64
25,Pikachu,Rare,Trainiert,0,5.64
25,Pikachu,Rare,Kampfbereit,0,6.63
25,Pikachu,Rare,Elite,0,8.95
25,Pikachu,Rare,Perfekt,0,11.25
25,Pikachu,Rare,Wild,1,11.50
25,Pikachu,Rare,Trainiert,1,14.00
25,Pikachu,Rare,Kampfbereit,1,16.50
25,Pikachu,Rare,Elite,1,22.50
25,Pikachu,Rare,Perfekt,1,28.25
26,Raichu,Epic,Wild,0,11.50
26,Raichu,Epic,Trainiert,0,13.75
26,Raichu,Epic,Kampfbereit,0,16.25
26,Raichu,Epic,Elite,0,22.00
26,Raichu,Epic,Perfekt,0,27.75
26,Raichu,Epic,Wild,1,28.50
26,Raichu,Epic,Trainiert,1,34.50
26,Raichu,Epic,Kampfbereit,1,40.75
26,Raichu,Epic,Elite,1,54.75
26,Raichu,Epic,Perfekt,1,69.00
27,Sandan,Common,Wild,0,0.14
27,Sandan,Common,Trainiert,0,0.17
27,Sandan,Common,Kampfbereit,0,0.20
27,Sandan,Common,Elite,0,0.27
27,Sandan,Common,Perfekt,0,0.34
27,Sandan,Common,Wild,1,0.35
27,Sandan,Common,Trainiert,1,0.43
27,Sandan,Common,Kampfbereit,1,0.50
27,Sandan,Common,Elite,1,0.68
27,Sandan,Common,Perfekt,1,0.85
28,Sandamer,Uncommon,Wild,0,0.39
28,Sandamer,Uncommon,Trainiert,0,0.48
28,Sandamer,Uncommon,Kampfbereit,0,0.56
28,Sandamer,Uncommon,Elite,0,0.76
28,Sandamer,Uncommon,Perfekt,0,0.95
28,Sandamer,Uncommon,Wild,1,0.98
28,Sandamer,Uncommon,Trainiert,1,1.19
28,Sandamer,Uncommon,Kampfbereit,1,1.40
28,Sandamer,Uncommon,Elite,1,1.89
28,Sandamer,Uncommon,Perfekt,1,2.38
29,Nidoran♀,Uncommon,Wild,0,0.33
29,Nidoran♀,Uncommon,Trainiert,0,0.40
29,Nidoran♀,Uncommon,Kampfbereit,0,0.47
29,Nidoran♀,Uncommon,Elite,0,0.63
29,Nidoran♀,Uncommon,Perfekt,0,0.80
29,Nidoran♀,Uncommon,Wild,1,0.82
29,Nidoran♀,Uncommon,Trainiert,1,1.00
29,Nidoran♀,Uncommon,Kampfbereit,1,1.17
29,Nidoran♀,Uncommon,Elite,1,1.59
29,Nidoran♀,Uncommon,Perfekt,1,2.00
30,Nidorina,Uncommon,Wild,0,0.71
30,Nidorina,Uncommon,Trainiert,0,0.86
30,Nidorina,Uncommon,Kampfbereit,0,1.01
30,Nidorina,Uncommon,Elite,0,1.36
30,Nidorina,Uncommon,Perfekt,0,1.72
30,Nidorina,Uncommon,Wild,1,1.77
30,Nidorina,Uncommon,Trainiert,1,2.15
30,Nidorina,Uncommon,Kampfbereit,1,2.53
30,Nidorina,Uncommon,Elite,1,3.41
30,Nidorina,Uncommon,Perfekt,1,4.29
31,Nidoqueen,Rare,Wild,0,2.40
31,Nidoqueen,Rare,Trainiert,0,2.92
31,Nidoqueen,Rare,Kampfbereit,0,3.43
31,Nidoqueen,Rare,Elite,0,4.63
31,Nidoqueen,Rare,Perfekt,0,5.83
31,Nidoqueen,Rare,Wild,1,6.00
31,Nidoqueen,Rare,Trainiert,1,7.29
31,Nidoqueen,Rare,Kampfbereit,1,8.58
31,Nidoqueen,Rare,Elite,1,11.50
31,Nidoqueen,Rare,Perfekt,1,14.50
32,Nidoran♂,Uncommon,Wild,0,0.35
32,Nidoran♂,Uncommon,Trainiert,0,0.43
32,Nidoran♂,Uncommon,Kampfbereit,0,0.50
32,Nidoran♂,Uncommon,Elite,0,0.68
32,Nidoran♂,Uncommon,Perfekt,0,0.85
32,Nidoran♂,Uncommon,Wild,1,0.88
32,Nidoran♂,Uncommon,Trainiert,1,1.06
32,Nidoran♂,Uncommon,Kampfbereit,1,1.25
32,Nidoran♂,Uncommon,Elite,1,1.69
32,Nidoran♂,Uncommon,Perfekt,1,2.13
33,Nidorino,Uncommon,Wild,0,0.80
33,Nidorino,Uncommon,Trainiert,0,0.97
33,Nidorino,Uncommon,Kampfbereit,0,1.14
33,Nidorino,Uncommon,Elite,0,1.54
33,Nidorino,Uncommon,Perfekt,0,1.94
33,Nidorino,Uncommon,Wild,1,2.00
33,Nidorino,Uncommon,Trainiert,1,2.42
33,Nidorino,Uncommon,Kampfbereit,1,2.85
33,Nidorino,Uncommon,Elite,1,3.85
33,Nidorino,Uncommon,Perfekt,1,4.84
34,Nidoking,Rare,Wild,0,2.36
34,Nidoking,Rare,Trainiert,0,2.86
34,Nidoking,Rare,Kampfbereit,0,3.37
34,Nidoking,Rare,Elite,0,4.55
34,Nidoking,Rare,Perfekt,0,5.73
34,Nidoking,Rare,Wild,1,5.90
34,Nidoking,Rare,Trainiert,1,7.16
34,Nidoking,Rare,Kampfbereit,1,8.43
34,Nidoking,Rare,Elite,1,11.25
34,Nidoking,Rare,Perfekt,1,14.25
35,Piepi,Common,Wild,0,0.21
35,Piepi,Common,Trainiert,0,0.26
35,Piepi,Common,Kampfbereit,0,0.30
35,Piepi,Common,Elite,0,0.41
35,Piepi,Common,Perfekt,0,0.51
35,Piepi,Common,Wild,1,0.53
35,Piepi,Common,Trainiert,1,0.64
35,Piepi,Common,Kampfbereit,1,0.75
35,Piepi,Common,Elite,1,1.01
35,Piepi,Common,Perfekt,1,1.27
36,Pixi,Uncommon,Wild,0,0.81
36,Pixi,Uncommon,Trainiert,0,0.98
36,Pixi,Uncommon,Kampfbereit,0,1.15
36,Pixi,Uncommon,Elite,0,1.55
36,Pixi,Uncommon,Perfekt,0,1.95
36,Pixi,Uncommon,Wild,1,2.01
36,Pixi,Uncommon,Trainiert,1,2.44
36,Pixi,Uncommon,Kampfbereit,1,2.88
36,Pixi,Uncommon,Elite,1,3.88
36,Pixi,Uncommon,Perfekt,1,4.89
37,Vulpix,Uncommon,Wild,0,0.30
37,Vulpix,Uncommon,Trainiert,0,0.37
37,Vulpix,Uncommon,Kampfbereit,0,0.43
37,Vulpix,Uncommon,Elite,0,0.58
37,Vulpix,Uncommon,Perfekt,0,0.73
37,Vulpix,Uncommon,Wild,1,0.75
37,Vulpix,Uncommon,Trainiert,1,0.91
37,Vulpix,Uncommon,Kampfbereit,1,1.08
37,Vulpix,Uncommon,Elite,1,1.45
37,Vulpix,Uncommon,Perfekt,1,1.83
38,Vulnona,Uncommon,Wild,0,1.01
38,Vulnona,Uncommon,Trainiert,0,1.22
38,Vulnona,Uncommon,Kampfbereit,0,1.44
